date,customer_id,product,price,quantity,coupon_code,shipping_city,payment_method,order_status,delivery_date,customer_email
2024-12-25,9caaf8f0-00d3-4ad3-97ce-3d1eab60a213,Keyboard,30,1,BUY1GET1,New York,Gift Card,Cancelled,2024-12-31,megan06@barber.info
2024-09-29,2ece07de-8e70-4263-a145-98071691c5ca,Smartwatch,200,1,FREESHIP,San Jose,Gift Card,Delivered,2024-10-03,masonleah@yahoo.com
2025-01-24,ed62c7bb-8800-4e3b-a07d-baff7e0eb2e0,Monitor,150,4,FREESHIP,New York,Gift Card,Pending,2025-01-26,tylerjackson@gmail.com
2024-11-15,e14d1f5a-3e8b-4e9c-a751-c9bef918eb13,Smartwatch,200,4,WELCOME20,Chicago,Credit Card,Returned,2024-11-19,spearslinda@gates.biz
2024-11-22,ba1c587c-7307-482d-b637-2221cc70c824,Laptop,1000,4,FREESHIP,San Antonio,Debit Card,Pending,2024-11-29,wisejacob@fisher-adams.net
2024-12-17,7997cdc7-6bb9-4fa7-83fb-bd82adc9a4ae,Printer,100,2,BUY1GET1,San Antonio,Net Banking,Shipped,2024-12-24,brenda02@hotmail.com
2024-03-10,8813efbf-6865-4a4b-bdaf-b85cb311f2a0,Smartwatch,200,5,FREESHIP,Phoenix,Credit Card,Returned,2024-03-14,deborah67@porter.info
2023-06-02,613bee9a-64d1-49c4-b262-4530596701fc,Keyboard,30,2,BUY1GET1,Los Angeles,Net Banking,Shipped,2023-06-04,brandy33@hotmail.com
2023-10-27,91d565b7-d2d1-43fa-ac33-f8f65e9691c0,Headphones,50,3,WELCOME20,Phoenix,PayPal,Cancelled,2023-11-03,wgomez@moore.com
2023-10-05,9d354cd5-100b-4f68-ba5e-d55aa9620518,Monitor,150,5,BUY1GET1,New York,Credit Card,Cancelled,2023-10-08,ericsalazar@nelson.com
2024-11-30,9de3b088-7803-4ed8-98ab-98376ef55277,Mouse,20,4,BUY1GET1,Phoenix,Credit Card,Cancelled,2024-12-02,christiankennedy@fisher.com
2023-08-23,a5eef806-7dc9-4561-ab89-0d6e61794b11,Printer,100,5,SAVE10,Phoenix,Credit Card,Returned,2023-08-29,lozanojoseph@arias-cunningham.com
2024-09-29,e4a15e1f-6f5d-4599-bb54-0e061e94249f,Tablet,300,1,SAVE10,Philadelphia,Net Banking,Pending,2024-10-06,mherman@yahoo.com
2024-06-26,e510dd6a-8ebb-4fba-8bf1-a57537fc12cf,Monitor,150,4,BUY1GET1,Houston,Gift Card,Pending,2024-06-29,garciaandrew@newman-johnson.info
2025-01-28,e133e35e-5b8a-448d-b624-21055aac8c69,Smartwatch,200,4,BUY1GET1,Chicago,PayPal,Returned,2025-02-04,robert99@yahoo.com
2023-06-05,a86af49d-f174-468a-8048-a43815c57ee6,Tablet,300,3,SAVE10,Dallas,PayPal,Shipped,2023-06-08,johnjones@yahoo.com
2024-02-19,59a0270d-a0a4-4a4e-b0db-ed5173116fbe,Mouse,20,3,FREESHIP,Philadelphia,Gift Card,Shipped,2024-02-26,juliehernandez@campos-garcia.com
2025-01-21,58b3ae64-b0a1-4d92-892b-271b203baa7c,Monitor,150,3,BUY1GET1,New York,PayPal,Returned,2025-01-23,jeremy98@smith.biz
2024-09-28,be06a918-8984-4288-8c27-e1c88e5d573b,Smartwatch,200,2,FREESHIP,San Diego,Debit Card,Pending,2024-10-01,holly59@gmail.com
2024-05-08,f0249a98-4bc1-4def-b975-89e41f4253eb,Laptop,1000,3,BUY1GET1,San Antonio,PayPal,Pending,2024-05-14,dmatthews@gmail.com
2025-03-05,9221fcab-c709-4ce9-ab12-df4e7b7e5a01,Printer,100,1,SAVE10,Phoenix,Debit Card,Returned,2025-03-07,bartoneric@gmail.com
2023-05-31,7226a371-69c4-438f-87b9-8adaed23aff7,Printer,100,1,SAVE10,Houston,Gift Card,Cancelled,2023-06-03,anthony82@yahoo.com
2023-09-07,4569481c-6a9c-43a5-b252-95f321358c3e,Printer,100,3,WELCOME20,San Antonio,Credit Card,Shipped,2023-09-10,christineyoung@yahoo.com
2024-07-21,df3c95c8-10d1-4267-9082-90fe00d7ac7c,Mouse,20,1,WELCOME20,Houston,PayPal,Shipped,2024-07-24,michelle77@gmail.com
2023-05-11,bb63b9a7-a8f2-46f9-b9ec-c08d454483e9,Smartwatch,200,2,SAVE10,New York,Gift Card,Cancelled,2023-05-15,butlerhailey@collier-torres.org
2023-04-02,ee11e0ac-31f5-4c31-9f01-bac2ad5e081e,Smartphone,700,2,WELCOME20,Houston,Debit Card,Pending,2023-04-06,zsmith@yahoo.com
2023-06-08,04eb2579-58cc-4d40-b01c-8a927bd5804d,Keyboard,30,3,FREESHIP,Phoenix,Credit Card,Shipped,2023-06-10,lvalencia@rodriguez.org
2024-03-10,af97bff9-2e45-407b-a6d6-bc987af71b4f,Monitor,150,5,BUY1GET1,Philadelphia,Gift Card,Delivered,2024-03-13,tracypearson@fitzgerald-french.net
